FIPS_code,State,Area_name,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Civilian_labor_force_2021,Employed_2021,Unemployed_2021,Unemployment_rate_2021
01001,AL,"Autauga County, AL","26,269","25,224","1,045",4.0,"26,475","25,524",951,3.6,"26,684","25,920",764,2.9,"26,405","24,985","1,420",5.4,"26,341","25,599",742,2.8
01003,AL,"Baldwin County, AL","93,152","89,286","3,866",4.2,"96,252","92,769","3,483",3.6,"98,921","96,044","2,877",2.9,"98,910","92,751","6,159",6.2,"99,427","96,481","2,946",3.0
01005,AL,"Barbour County, AL","8,415","7,914",501,6.0,"8,505","8,071",434,5.1,"8,637","8,292",345,4.0,"8,680","8,004",676,7.8,"8,197","7,728",469,5.7
01007,AL,"Bibb County, AL","8,648","8,261",387,4.5,"8,698","8,354",344,4.0,"8,772","8,488",284,3.2,"8,712","8,073",639,7.3,"8,560","8,262",298,3.5
01009,AL,"Blount County, AL","25,009","23,979","1,030",4.1,"25,337","24,454",883,3.5,"25,582","24,861",721,2.8,"25,116","23,973","1,143",4.6,"25,127","24,529",598,2.4
01011,AL,"Bullock County, AL","4,890","4,644",246,5.0,"4,844","4,619",225,4.6,"4,861","4,673",188,3.9,"4,877","4,582",295,6.0,"4,606","4,422",184,4.0
01013,AL,"Butler County, AL","9,046","8,536",510,5.6,"9,070","8,642",428,4.7,"9,317","8,956",361,3.9,"9,236","8,345",891,9.6,"8,796","8,328",468,5.3
01015,AL,"Calhoun County, AL","46,304","43,960","2,344",5.1,"46,805","44,652","2,153",4.6,"46,804","45,064","1,740",3.7,"47,022","43,367","3,655",7.8,"46,118","44,212","1,906",4.1
01017,AL,"Chambers County, AL","15,375","14,734",641,4.2,"15,530","14,929",601,3.9,"15,992","15,502",490,3.1,"16,093","14,884","1,209",7.5,"15,752","15,173",579,3.7
01019,AL,"Cherokee County, AL","11,470","10,993",477,4.2,"11,813","11,394",419,3.5,"11,906","11,546",360,3.0,"11,672","11,073",599,5.1,"11,808","11,512",296,2.5
01021,AL,"Chilton County, AL","19,478","18,667",811,4.2,"19,834","19,121",713,3.6,"20,145","19,567",578,2.9,"19,936","18,839","1,097",5.5,"19,811","19,246",565,2.9
01023,AL,"Choctaw County, AL","4,460","4,172",288,6.5,"4,800","4,539",261,5.4,"4,722","4,490",232,4.9,"4,699","4,351",348,7.4,"4,591","4,391",200,4.4
